STNAME,CTYNAME,FIPS,STATE,COUNTY,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
Alabama,Alabama,01000,1,0,4843737.0,4854803.0,4866824.0,4877989.0,4891628.0,4907965.0,5031864.0,5050380.0,5073903.0,5108468.0
Alabama,Autauga County,01001,1,1,54922.0,54903.0,55302.0,55448.0,55533.0,55769.0,58915.0,59203.0,59726.0,60342.0
Alabama,Baldwin County,01003,1,3,199306.0,203101.0,207787.0,212737.0,218071.0,223565.0,233227.0,239439.0,246531.0,253507.0
Alabama,Barbour County,01005,1,5,26768.0,26300.0,25828.0,25169.0,24887.0,24657.0,24969.0,24533.0,24700.0,24585.0
Alabama,Bibb County,01007,1,7,22541.0,22553.0,22590.0,22532.0,22300.0,22313.0,22188.0,22359.0,21986.0,21868.0
Alabama,Blount County,01009,1,9,57536.0,57535.0,57487.0,57801.0,57770.0,57840.0,59107.0,59079.0,59516.0,59816.0
Alabama,Bullock County,01011,1,11,10668.0,10404.0,10397.0,10181.0,10165.0,10144.0,10229.0,10143.0,10143.0,9897.0
Alabama,Butler County,01013,1,13,20332.0,20168.0,20040.0,19911.0,19675.0,19501.0,19025.0,18890.0,18668.0,18382.0
Alabama,Calhoun County,01015,1,15,115991.0,115550.0,115036.0,114746.0,114298.0,114070.0,116243.0,115678.0,115780.0,116429.0
Alabama,Chambers County,01017,1,17,33964.0,33991.0,33742.0,33716.0,33570.0,33244.0,34651.0,34488.0,34164.0,34079.0
Alabama,Cherokee County,01019,1,19,25900.0,25739.0,25769.0,25822.0,26035.0,26254.0,24969.0,25074.0,25353.0,25666.0
Alabama,Chilton County,01021,1,21,43751.0,43693.0,43854.0,44085.0,44084.0,44313.0,45057.0,45259.0,45848.0,46431.0
Alabama,Choctaw County,01023,1,23,13322.0,13237.0,13049.0,12923.0,12810.0,12577.0,12626.0,12548.0,12431.0,12252.0
Alabama,Clarke County,01025,1,25,24873.0,24711.0,24342.0,24083.0,23965.0,23651.0,22987.0,22740.0,22574.0,22337.0
Alabama,Clay County,01027,1,27,13443.0,13415.0,13393.0,13355.0,13301.0,13265.0,14212.0,14170.0,14183.0,14111.0
Alabama,Cleburne County,01029,1,29,15029.0,14923.0,14871.0,14924.0,15047.0,14952.0,15064.0,15156.0,15372.0,15639.0
Alabama,Coffee County,01031,1,31,50693.0,51004.0,51281.0,51943.0,52097.0,52639.0,53549.0,54199.0,54840.0,55643.0
Alabama,Colbert County,01033,1,33,54484.0,54439.0,54483.0,54682.0,54970.0,55241.0,57304.0,57644.0,57993.0,58361.0
Alabama,Conecuh County,01035,1,35,12674.0,12677.0,12495.0,12431.0,12264.0,12055.0,11554.0,11320.0,11224.0,11174.0
Alabama,Coosa County,01037,1,37,11037.0,10935.0,10812.0,10724.0,10619.0,10677.0,10335.0,10314.0,10307.0,10268.0
Alabama,Covington County,01039,1,39,37766.0,37566.0,37400.0,37077.0,36993.0,37082.0,37506.0,37570.0,37603.0,37952.0
Alabama,Crenshaw County,01041,1,41,13851.0,13851.0,13911.0,13871.0,13855.0,13811.0,13163.0,13069.0,13048.0,13101.0
Alabama,Cullman County,01043,1,43,81081.0,81771.0,82434.0,82830.0,83300.0,83644.0,88136.0,89639.0,90663.0,92016.0
Alabama,Dale County,01045,1,45,49465.0,49428.0,49476.0,49467.0,49268.0,49294.0,49257.0,49395.0,49495.0,49871.0
Alabama,Dallas County,01047,1,47,41560.0,40947.0,40105.0,39263.0,38270.0,37182.0,38171.0,37515.0,36729.0,36165.0
Alabama,DeKalb County,01049,1,49,70963.0,71065.0,71116.0,71441.0,71430.0,71506.0,71659.0,71912.0,72082.0,72569.0
Alabama,Elmore County,01051,1,51,80563.0,80903.0,81258.0,81452.0,81189.0,81575.0,87861.0,88789.0,89600.0,90441.0
Alabama,Escambia County,01053,1,53,37749.0,37676.0,37500.0,37010.0,36515.0,36569.0,36685.0,36660.0,36636.0,36558.0
Alabama,Etowah County,01055,1,55,103417.0,103033.0,102931.0,103076.0,102766.0,102460.0,103453.0,103010.0,102903.0,103241.0
Alabama,Fayette County,01057,1,57,16784.0,16711.0,16581.0,16478.0,16451.0,16279.0,16331.0,16127.0,16082.0,15967.0
Alabama,Franklin County,01059,1,59,31572.0,31532.0,31674.0,31670.0,31495.0,31587.0,32078.0,31998.0,31910.0,31802.0
Alabama,Geneva County,01061,1,61,26605.0,26645.0,26497.0,26404.0,26296.0,26309.0,26698.0,26620.0,26760.0,26988.0
