,FIPS,State,County,Year,Population,Shootings,School Incidents,Ratio County
0,1000,Alabama,Alabama,2014,4843737.0,0.0,0.0,0.0
1,1001,Alabama,Autauga County,2014,54922.0,0.0,0.0,0.0
2,1003,Alabama,Baldwin County,2014,199306.0,0.0,0.0,0.0
3,1005,Alabama,Barbour County,2014,26768.0,0.0,0.0,0.0
4,1007,Alabama,Bibb County,2014,22541.0,0.0,0.0,0.0
5,1009,Alabama,Blount County,2014,57536.0,0.0,0.0,0.0
6,1011,Alabama,Bullock County,2014,10668.0,0.0,0.0,0.0
7,1013,Alabama,Butler County,2014,20332.0,0.0,0.0,0.0
8,1015,Alabama,Calhoun County,2014,115991.0,0.0,0.0,0.0
9,1017,Alabama,Chambers County,2014,33964.0,0.0,0.0,0.0
10,1019,Alabama,Cherokee County,2014,25900.0,0.0,0.0,0.0
11,1021,Alabama,Chilton County,2014,43751.0,0.0,0.0,0.0
12,1023,Alabama,Choctaw County,2014,13322.0,0.0,0.0,0.0
13,1025,Alabama,Clarke County,2014,24873.0,0.0,0.0,0.0
14,1027,Alabama,Clay County,2014,13443.0,0.0,0.0,0.0
15,1029,Alabama,Cleburne County,2014,15029.0,0.0,0.0,0.0
16,1031,Alabama,Coffee County,2014,50693.0,0.0,0.0,0.0
17,1033,Alabama,Colbert County,2014,54484.0,0.0,0.0,0.0
18,1035,Alabama,Conecuh County,2014,12674.0,0.0,0.0,0.0
19,1037,Alabama,Coosa County,2014,11037.0,0.0,0.0,0.0
20,1039,Alabama,Covington County,2014,37766.0,1.0,0.0,26.47884340412011
21,1041,Alabama,Crenshaw County,2014,13851.0,0.0,0.0,0.0
22,1043,Alabama,Cullman County,2014,81081.0,0.0,0.0,0.0
23,1045,Alabama,Dale County,2014,49465.0,0.0,0.0,0.0
24,1047,Alabama,Dallas County,2014,41560.0,0.0,0.0,0.0
25,1049,Alabama,DeKalb County,2014,70963.0,0.0,0.0,0.0
26,1051,Alabama,Elmore County,2014,80563.0,0.0,0.0,0.0
27,1053,Alabama,Escambia County,2014,37749.0,0.0,0.0,0.0
28,1055,Alabama,Etowah County,2014,103417.0,0.0,0.0,0.0
29,1057,Alabama,Fayette County,2014,16784.0,0.0,0.0,0.0
30,1059,Alabama,Franklin County,2014,31572.0,0.0,0.0,0.0
31,1061,Alabama,Geneva County,2014,26605.0,0.0,0.0,0.0
32,1063,Alabama,Greene County,2014,8585.0,0.0,0.0,0.0
33,1065,Alabama,Hale County,2014,15047.0,0.0,0.0,0.0
34,1067,Alabama,Henry County,2014,17074.0,0.0,0.0,0.0
35,1069,Alabama,Houston County,2014,104216.0,0.0,0.0,0.0
36,1071,Alabama,Jackson County,2014,52592.0,0.0,0.0,0.0
37,1073,Alabama,Jefferson County,2014,660185.0,0.0,0.0,0.0
38,1075,Alabama,Lamar County,2014,14071.0,0.0,0.0,0.0
39,1077,Alabama,Lauderdale County,2014,93049.0,0.0,0.0,0.0
40,1079,Alabama,Lawrence County,2014,33423.0,0.0,0.0,0.0
41,1081,Alabama,Lee County,2014,154682.0,0.0,0.0,0.0
42,1083,Alabama,Limestone County,2014,90622.0,0.0,0.0,0.0
43,1085,Alabama,Lowndes County,2014,10497.0,0.0,0.0,0.0
44,1087,Alabama,Macon County,2014,19670.0,0.0,0.0,0.0
45,1089,Alabama,Madison County,2014,349973.0,1.0,0.0,2.8573632823103496
46,1091,Alabama,Marengo County,2014,19990.0,0.0,0.0,0.0
47,1093,Alabama,Marion County,2014,30215.0,0.0,0.0,0.0
48,1095,Alabama,Marshall County,2014,94262.0,0.0,0.0,0.0
49,1097,Alabama,Mobile County,2014,414298.0,0.0,0.0,0.0
50,1099,Alabama,Monroe County,2014,21927.0,0.0,0.0,0.0
51,1101,Alabama,Montgomery County,2014,227647.0,0.0,0.0,0.0
52,1103,Alabama,Morgan County,2014,119496.0,0.0,0.0,0.0
53,1105,Alabama,Perry County,2014,9809.0,0.0,0.0,0.0
54,1107,Alabama,Pickens County,2014,20283.0,0.0,0.0,0.0
55,1109,Alabama,Pike County,2014,33217.0,0.0,0.0,0.0
56,1111,Alabama,Randolph County,2014,22362.0,0.0,0.0,0.0
57,1113,Alabama,Russell County,2014,59310.0,0.0,0.0,0.0
58,1115,Alabama,St. Clair County,2014,86014.0,0.0,0.0,0.0
59,1117,Alabama,Shelby County,2014,206346.0,0.0,0.0,0.0
60,1119,Alabama,Sumter County,2014,13276.0,0.0,0.0,0.0
61,1121,Alabama,Talladega County,2014,81550.0,0.0,0.0,0.0
62,1123,Alabama,Tallapoosa County,2014,40898.0,0.0,0.0,0.0
63,1125,Alabama,Tuscaloosa County,2014,203228.0,0.0,0.0,0.0
64,1127,Alabama,Walker County,2014,65354.0,0.0,0.0,0.0
65,1129,Alabama,Washington County,2014,16868.0,0.0,0.0,0.0
66,1131,Alabama,Wilcox County,2014,10950.0,0.0,0.0,0.0
67,1133,Alabama,Winston County,2014,24141.0,0.0,0.0,0.0
68,2000,Alaska,Alaska,2014,737075.0,0.0,0.0,0.0
69,2013,Alaska,Aleutians East Borough,2014,3347.0,0.0,0.0,0.0
70,2016,Alaska,Aleutians West Census Area,2014,5825.0,0.0,0.0,0.0
71,2020,Alaska,Anchorage Municipality,2014,300647.0,1.0,0.0,3.3261599151163987
72,2050,Alaska,Bethel Census Area,2014,17960.0,0.0,0.0,0.0
73,2060,Alaska,Bristol Bay Borough,2014,949.0,0.0,0.0,0.0
74,2063,Alaska,Chugach Census Area,2014,6622.0,0.0,0.0,0.0
75,2066,Alaska,Copper River Census Area,2014,2937.0,0.0,0.0,0.0
76,2068,Alaska,Denali Borough,2014,1922.0,0.0,0.0,0.0
77,2070,Alaska,Dillingham Census Area,2014,4981.0,0.0,0.0,0.0
78,2090,Alaska,Fairbanks North Star Borough,2014,99404.0,0.0,0.0,0.0
79,2100,Alaska,Haines Borough,2014,2558.0,0.0,0.0,0.0
80,2105,Alaska,Hoonah-Angoon Census Area,2014,2091.0,0.0,0.0,0.0
81,2110,Alaska,Juneau City and Borough,2014,32501.0,0.0,0.0,0.0
82,2122,Alaska,Kenai Peninsula Borough,2014,57594.0,0.0,0.0,0.0
83,2130,Alaska,Ketchikan Gateway Borough,2014,13826.0,0.0,0.0,0.0
84,2150,Alaska,Kodiak Island Borough,2014,13899.0,0.0,0.0,0.0
85,2158,Alaska,Kusilvak Census Area,2014,8107.0,0.0,0.0,0.0
86,2164,Alaska,Lake and Peninsula Borough,2014,1648.0,0.0,0.0,0.0
87,2170,Alaska,Matanuska-Susitna Borough,2014,98185.0,0.0,0.0,0.0
88,2180,Alaska,Nome Census Area,2014,9812.0,0.0,0.0,0.0
89,2185,Alaska,North Slope Borough,2014,9370.0,0.0,0.0,0.0
90,2188,Alaska,Northwest Arctic Borough,2014,7785.0,0.0,0.0,0.0
91,2195,Alaska,Petersburg Borough,2014,3256.0,0.0,0.0,0.0
92,2198,Alaska,Prince of Wales-Hyder Census Area,2014,6461.0,0.0,0.0,0.0
93,2220,Alaska,Sitka City and Borough,2014,8845.0,0.0,0.0,0.0
94,2230,Alaska,Skagway Municipality,2014,1054.0,0.0,0.0,0.0
95,2240,Alaska,Southeast Fairbanks Census Area,2014,6937.0,0.0,0.0,0.0
96,2275,Alaska,Wrangell City and Borough,2014,2441.0,0.0,0.0,0.0
97,2282,Alaska,Yakutat City and Borough,2014,655.0,0.0,0.0,0.0
98,2290,Alaska,Yukon-Koyukuk Census Area,2014,5456.0,0.0,0.0,0.0
99,4000,Arizona,Arizona,2014,6732873.0,0.0,0.0,0.0
100,4001,Arizona,Apache County,2014,71808.0,0.0,0.0,0.0
101,4003,Arizona,Cochise County,2014,127437.0,0.0,0.0,0.0
102,4005,Arizona,Coconino County,2014,137675.0,0.0,0.0,0.0
103,4007,Arizona,Gila County,2014,53074.0,0.0,0.0,0.0
104,4009,Arizona,Graham County,2014,38123.0,0.0,0.0,0.0
105,4011,Arizona,Greenlee County,2014,9356.0,0.0,0.0,0.0
106,4012,Arizona,La Paz County,2014,20521.0,0.0,0.0,0.0
107,4013,Arizona,Maricopa County,2014,4094842.0,1.0,0.0,0.2442096666977627
108,4015,Arizona,Mohave County,2014,203670.0,0.0,0.0,0.0
109,4017,Arizona,Navajo County,2014,107741.0,0.0,0.0,0.0
110,4019,Arizona,Pima County,2014,1004521.0,0.0,0.0,0.0
111,4021,Arizona,Pinal County,2014,395563.0,0.0,0.0,0.0
112,4023,Arizona,Santa Cruz County,2014,46596.0,0.0,0.0,0.0
113,4025,Arizona,Yavapai County,2014,217882.0,0.0,0.0,0.0
114,4027,Arizona,Yuma County,2014,204064.0,0.0,0.0,0.0
115,5000,Arkansas,Arkansas,2014,2968759.0,0.0,0.0,0.0
116,5001,Arkansas,Arkansas County,2014,18524.0,0.0,0.0,0.0
117,5003,Arkansas,Ashley County,2014,20974.0,0.0,0.0,0.0
118,5005,Arkansas,Baxter County,2014,40903.0,0.0,0.0,0.0
119,5007,Arkansas,Benton County,2014,244962.0,0.0,0.0,0.0
120,5009,Arkansas,Boone County,2014,37150.0,0.0,0.0,0.0
121,5011,Arkansas,Bradley County,2014,11006.0,0.0,0.0,0.0
122,5013,Arkansas,Calhoun County,2014,5165.0,0.0,0.0,0.0
123,5015,Arkansas,Carroll County,2014,27763.0,0.0,0.0,0.0
124,5017,Arkansas,Chicot County,2014,11223.0,0.0,0.0,0.0
125,5019,Arkansas,Clark County,2014,22578.0,0.0,0.0,0.0
126,5021,Arkansas,Clay County,2014,15298.0,0.0,0.0,0.0
127,5023,Arkansas,Cleburne County,2014,25616.0,0.0,0.0,0.0
128,5025,Arkansas,Cleveland County,2014,8404.0,0.0,0.0,0.0
129,5027,Arkansas,Columbia County,2014,24051.0,0.0,0.0,0.0
130,5029,Arkansas,Conway County,2014,20999.0,0.0,0.0,0.0
131,5031,Arkansas,Craighead County,2014,102707.0,1.0,0.0,9.736434712337037
132,5033,Arkansas,Crawford County,2014,61856.0,0.0,0.0,0.0
133,5035,Arkansas,Crittenden County,2014,49479.0,0.0,0.0,0.0
134,5037,Arkansas,Cross County,2014,17180.0,0.0,0.0,0.0
135,5039,Arkansas,Dallas County,2014,7698.0,0.0,0.0,0.0
136,5041,Arkansas,Desha County,2014,12265.0,0.0,0.0,0.0
137,5043,Arkansas,Drew County,2014,18643.0,0.0,0.0,0.0
138,5045,Arkansas,Faulkner County,2014,120646.0,0.0,0.0,0.0
139,5047,Arkansas,Franklin County,2014,17828.0,0.0,0.0,0.0
140,5049,Arkansas,Fulton County,2014,12090.0,0.0,0.0,0.0
141,5051,Arkansas,Garland County,2014,97851.0,0.0,0.0,0.0
142,5053,Arkansas,Grant County,2014,18084.0,0.0,0.0,0.0
143,5055,Arkansas,Greene County,2014,43809.0,0.0,0.0,0.0
144,5057,Arkansas,Hempstead County,2014,22339.0,0.0,0.0,0.0
145,5059,Arkansas,Hot Spring County,2014,33418.0,0.0,0.0,0.0
146,5061,Arkansas,Howard County,2014,13489.0,0.0,0.0,0.0
147,5063,Arkansas,Independence County,2014,37095.0,0.0,0.0,0.0
148,5065,Arkansas,Izard County,2014,13566.0,0.0,0.0,0.0
149,5067,Arkansas,Jackson County,2014,17608.0,0.0,0.0,0.0
150,5069,Arkansas,Jefferson County,2014,72504.0,1.0,0.0,13.792342491448748
151,5071,Arkansas,Johnson County,2014,25976.0,0.0,0.0,0.0
152,5073,Arkansas,Lafayette County,2014,7157.0,0.0,0.0,0.0
153,5075,Arkansas,Lawrence County,2014,16970.0,0.0,0.0,0.0
154,5077,Arkansas,Lee County,2014,9827.0,0.0,0.0,0.0
155,5079,Arkansas,Lincoln County,2014,14034.0,0.0,0.0,0.0
156,5081,Arkansas,Little River County,2014,12515.0,0.0,0.0,0.0
157,5083,Arkansas,Logan County,2014,21866.0,0.0,0.0,0.0
158,5085,Arkansas,Lonoke County,2014,71408.0,0.0,0.0,0.0
159,5087,Arkansas,Madison County,2014,15741.0,0.0,0.0,0.0
160,5089,Arkansas,Marion County,2014,16428.0,0.0,0.0,0.0
161,5091,Arkansas,Miller County,2014,43509.0,0.0,0.0,0.0
162,5093,Arkansas,Mississippi County,2014,44203.0,0.0,0.0,0.0
163,5095,Arkansas,Monroe County,2014,7636.0,0.0,0.0,0.0
164,5097,Arkansas,Montgomery County,2014,9163.0,0.0,0.0,0.0
165,5099,Arkansas,Nevada County,2014,8642.0,0.0,0.0,0.0
166,5101,Arkansas,Newton County,2014,7869.0,0.0,0.0,0.0
167,5103,Arkansas,Ouachita County,2014,24767.0,0.0,0.0,0.0
168,5105,Arkansas,Perry County,2014,10358.0,0.0,0.0,0.0
169,5107,Arkansas,Phillips County,2014,19952.0,0.0,0.0,0.0
170,5109,Arkansas,Pike County,2014,10988.0,0.0,0.0,0.0
171,5111,Arkansas,Poinsett County,2014,24151.0,0.0,0.0,0.0
172,5113,Arkansas,Polk County,2014,20257.0,0.0,0.0,0.0
173,5115,Arkansas,Pope County,2014,63145.0,0.0,0.0,0.0
174,5117,Arkansas,Prairie County,2014,8355.0,0.0,0.0,0.0
175,5119,Arkansas,Pulaski County,2014,393210.0,0.0,0.0,0.0
176,5121,Arkansas,Randolph County,2014,17579.0,0.0,0.0,0.0
177,5123,Arkansas,St. Francis County,2014,27029.0,0.0,0.0,0.0
178,5125,Arkansas,Saline County,2014,114906.0,0.0,0.0,0.0
179,5127,Arkansas,Scott County,2014,10663.0,0.0,0.0,0.0
180,5129,Arkansas,Searcy County,2014,7926.0,0.0,0.0,0.0
181,5131,Arkansas,Sebastian County,2014,126852.0,0.0,0.0,0.0
182,5133,Arkansas,Sevier County,2014,17411.0,0.0,0.0,0.0
183,5135,Arkansas,Sharp County,2014,16821.0,0.0,0.0,0.0
184,5137,Arkansas,Stone County,2014,12392.0,0.0,0.0,0.0
185,5139,Arkansas,Union County,2014,40156.0,0.0,0.0,0.0
186,5141,Arkansas,Van Buren County,2014,16911.0,0.0,0.0,0.0
187,5143,Arkansas,Washington County,2014,220075.0,0.0,0.0,0.0
188,5145,Arkansas,White County,2014,78500.0,0.0,0.0,0.0
189,5147,Arkansas,Woodruff County,2014,6869.0,0.0,0.0,0.0
190,5149,Arkansas,Yell County,2014,21771.0,0.0,0.0,0.0
191,6000,California,California,2014,38586706.0,1.0,0.0,0.02591566121243933
192,6001,California,Alameda County,2014,1607638.0,2.0,0.0,1.244061163023019
193,6003,California,Alpine County,2014,1083.0,0.0,0.0,0.0
194,6005,California,Amador County,2014,36734.0,0.0,0.0,0.0
195,6007,California,Butte County,2014,223525.0,0.0,0.0,0.0
196,6009,California,Calaveras County,2014,44677.0,0.0,0.0,0.0
197,6011,California,Colusa County,2014,21156.0,0.0,0.0,0.0
198,6013,California,Contra Costa County,2014,1108665.0,2.0,0.0,1.8039714431320553
199,6015,California,Del Norte County,2014,27182.0,0.0,0.0,0.0
200,6017,California,El Dorado County,2014,183157.0,0.0,0.0,0.0
201,6019,California,Fresno County,2014,960072.0,1.0,0.0,1.0415885475256024
202,6021,California,Glenn County,2014,27802.0,0.0,0.0,0.0
203,6023,California,Humboldt County,2014,134556.0,0.0,0.0,0.0
204,6025,California,Imperial County,2014,177786.0,0.0,0.0,0.0
205,6027,California,Inyo County,2014,18280.0,0.0,0.0,0.0
206,6029,California,Kern County,2014,869837.0,1.0,0.0,1.1496406798055268
207,6031,California,Kings County,2014,149373.0,0.0,0.0,0.0
208,6033,California,Lake County,2014,64056.0,0.0,0.0,0.0
209,6035,California,Lassen County,2014,31664.0,0.0,0.0,0.0
