Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
2074353,2021-07-25,Michigan,Detroit,16342 W McNichols Rd,0,6,0,0,0,
2074406,2021-07-25,California,Wasco,1718 1st St,4,1,1,0,0,
2073472,2021-07-25,Illinois,Chicago,4800 block of W Race Ave,0,5,0,0,0,
2073597,2021-07-25,Washington,Seattle,100 block of Occidental Ave S,2,3,0,0,0,
2072782,2021-07-24,Ohio,Columbus,N High St and E 4th Ave,0,4,0,0,0,
2072962,2021-07-24,Texas,Amarillo,1306 NE 3rd Ave,0,6,0,0,0,
2072761,2021-07-24,Georgia,Macon,Cherry St and Martin Luther King Jr Blvd,2,3,0,0,1,
2072342,2021-07-23,South Carolina,Spartanburg,151 Palisade St,2,2,0,0,0,
2071982,2021-07-23,South Carolina,Darlington,505 Oleander Dr,0,4,0,0,1,
2072896,2021-07-23,California,San Rafael,842 4th St,2,4,0,0,0,
2071343,2021-07-22,Texas,Houston,9717 N Houston Rosslyn Rd,1,5,0,0,0,
2070329,2021-07-21,Illinois,Chicago,1400 block of S Ridgeway Ave,0,5,0,0,0,
2069490,2021-07-21,Maryland,Hyattsville (Adelphi),1836 Metzerott Rd,1,4,0,0,0,
2070645,2021-07-21,Illinois,Chicago,1647 N La Salle Dr,0,8,0,0,0,
2070310,2021-07-21,Illinois,Chicago,3300 block of W Douglas Blvd,2,3,0,0,1,
2068568,2021-07-20,Texas,Jacksonville,16241 TX-110,4,0,0,0,3,
2067728,2021-07-19,New Jersey,Perth Amboy,417 Fayette St,0,6,0,0,2,
2068061,2021-07-19,Illinois,Chicago,3308 W Flournoy St,0,4,0,0,0,
2066335,2021-07-18,Ohio,Toledo,5205 Telegraph Rd,1,3,0,0,0,
2067135,2021-07-18,Florida,Gainesville,1634 NE 8th Ave,1,4,0,0,0,
2066680,2021-07-18,North Carolina,Burlington,421 N Church St,0,4,0,0,0,
2066905,2021-07-18,Arizona,Tucson,1575 E 36th St,3,3,1,0,0,
2066812,2021-07-18,California,Walnut Creek,2580 N Main St,1,3,0,0,0,
2067290,2021-07-18,Texas,Houston,3421 Antoine Dr,2,2,1,0,0,
2065252,2021-07-17,Oregon,Portland,300 block of SW 3rd Ave,1,6,0,0,0,
2066189,2021-07-17,Illinois,Chicago,5006 W Ohio St,0,6,0,0,0,
2065634,2021-07-16,California,Sacramento,L St and Front St,2,4,0,0,2,
2065009,2021-07-16,Pennsylvania,Philadelphia,2700 block of Ruby Terrace,1,4,0,0,0,
2066249,2021-07-16,South Carolina,Greenville,840 Mauldin Rd,1,3,0,0,0,
2064260,2021-07-16,New Hampshire,Manchester,I-293,0,4,0,0,0,
2064992,2021-07-16,District of Columbia,Washington,2900 block of MLK Ave SE,1,5,0,0,1,
2065118,2021-07-16,Illinois,Chicago,647 N Lockwood Ave,1,4,0,0,2,
2063495,2021-07-15,Texas,Levelland,1105 10th St,1,4,0,1,1,
2065533,2021-07-15,Massachusetts,Boston,265 Centre St,0,4,0,0,0,
2062097,2021-07-14,Illinois,Chicago,4600 block of W Monroe St,0,5,0,0,0,
2062359,2021-07-14,Illinois,Chicago,1533 W 79th St,0,5,0,0,1,
2060865,2021-07-13,Indiana,Indianapolis,4200 block of Arborcrest Dr,1,3,0,0,1,
2060949,2021-07-13,Michigan,Detroit,9855 Chalmers St,1,5,0,1,1,
2060706,2021-07-12,Pennsylvania,Beaver Falls,900 9th St,2,3,0,0,1,
2060293,2021-07-12,New Jersey,Iselin,515 US-1,0,4,0,0,4,
2060605,2021-07-12,New York,Corona (Queens),180th St and 145th Dr,0,4,0,0,0,
2059440,2021-07-11,Texas,El Paso (Socorro),1300 Joe Battle Blvd,1,5,0,0,0,
2059404,2021-07-10,Pennsylvania,Philadelphia,W Butler St and N 9th St,0,6,0,0,0,
2058950,2021-07-10,Massachusetts,Boston,34 Cameron St,0,4,0,0,1,
2058837,2021-07-10,Ohio,Springfield,405 S Burnett Rd,1,3,0,0,0,
2058421,2021-07-09,California,Los Angeles,7114 W Manchester Ave,0,4,0,0,0,
2057427,2021-07-08,Connecticut,Hartford,175 Nelson St,0,4,0,0,5,
2053262,2021-07-05,Ohio,Toledo,Lawrence Ave and Wall St,1,11,0,0,0,
2053500,2021-07-05,California,Santa Rosa,1500 block of Beachwood Dr,1,3,0,0,0,
2055252,2021-07-05,New York,Buffalo,50 block of Donovan Dr,1,3,0,0,2,
2053048,2021-07-05,Illinois,Chicago,6108 S Wabash Ave,2,4,0,0,0,
2052524,2021-07-04,California,Thermal,Jackson St and Airport Blvd,0,4,0,0,0,
2054233,2021-07-04,Ohio,Cleveland,Kinsman Rd and E 139th St,0,4,0,0,0,
