Incident ID,Incident Date,State,City Or County,json,county,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,FIPS
3027605,2024-09-18T00:00:00Z,Missouri,Saint Louis,"[{""place_id"":323075484,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":1180533,""lat"":""38.6280278"",""lon"":""-90.1910154"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.7078550940195126,""addresstype"":""independent_city"",""name"":""Saint Louis"",""display_name"":""Saint Louis, Missouri, United States"",""boundingbox"":[""38.5323215"",""38.7743018"",""-90.3206525"",""-90.1641941""]}]",St. Louis County,5000 block of Kensington Ave,2,2,0,0,0,29189
3028704,2024-09-18T00:00:00Z,Ohio,Akron,"[{""place_id"":24854947,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":182644,""lat"":""41.083064"",""lon"":""-81.518485"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.6044870387340987,""addresstype"":""city"",""name"":""Akron"",""display_name"":""Akron, Summit County, Ohio, United States"",""boundingbox"":[""40.9976575"",""41.1710610"",""-81.6210140"",""-81.4049420""]}]",Summit County,744 Colette Dr,0,4,0,0,0,39153
3026197,2024-09-16T00:00:00Z,Illinois,Chicago,"[{""place_id"":401149033,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":122604,""lat"":""41.8755616"",""lon"":""-87.6244212"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.8027259419416765,""addresstype"":""city"",""name"":""Chicago"",""display_name"":""Chicago, Cook County, Illinois, United States"",""boundingbox"":[""41.6445310"",""42.0230396"",""-87.9400876"",""-87.5240812""]}]",Cook County,1500 W 51st St,0,4,0,0,0,17031
3025439,2024-09-15T00:00:00Z,Missouri,Florissant,"[{""place_id"":324727299,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":139991,""lat"":""38.7919683"",""lon"":""-90.3227803"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.5040518366738369,""addresstype"":""town"",""name"":""Florissant"",""display_name"":""Florissant, Saint Louis County, Missouri, 63031, United States"",""boundingbox"":[""38.7667021"",""38.8319490"",""-90.3962995"",""-90.2783120""]}]",St. Louis County,2200 block of Windsor Dr,0,4,0,0,0,29189
3024100,2024-09-14T00:00:00Z,Kentucky,Louisville,"[{""place_id"":324288252,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":1804307,""lat"":""38.2542376"",""lon"":""-85.759407"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.6656164207590503,""addresstype"":""city"",""name"":""Louisville"",""display_name"":""Louisville, Jefferson County, Kentucky, United States"",""boundingbox"":[""37.9971000"",""38.3801391"",""-85.9470644"",""-85.4051000""]}]",Jefferson County,521 N 22nd St,0,4,0,0,0,21111
3024007,2024-09-14T00:00:00Z,Texas,Houston,"[{""place_id"":292999893,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":2688911,""lat"":""29.7589382"",""lon"":""-95.3676974"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.7273179768405511,""addresstype"":""city"",""name"":""Houston"",""display_name"":""Houston, Harris County, Texas, United States"",""boundingbox"":[""29.5370705"",""30.1103506"",""-95.9097419"",""-95.0120525""]}]",Houston County,4901 Laura Koppe Rd,3,8,0,0,0,48225
3026772,2024-09-14T00:00:00Z,Alabama,Selma,"[{""place_id"":326862,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":2152348,""lat"":""32.4078632"",""lon"":""-87.0207473"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.4806669724438311,""addresstype"":""town"",""name"":""Selma"",""display_name"":""Selma, Dallas County, Alabama, 36701, United States"",""boundingbox"":[""32.3841663"",""32.4515124"",""-87.0910944"",""-86.9710456""]}]",Dallas County,201 N Race St,0,4,0,0,0,1047
3024089,2024-09-13T00:00:00Z,Tennessee,Antioch,"[{""place_id"":324535626,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""node"",""osm_id"":153526252,""lat"":""36.0600602"",""lon"":""-86.6722192"",""class"":""place"",""type"":""hamlet"",""place_rank"":20,""importance"":0.3367490639114201,""addresstype"":""hamlet"",""name"":""Antioch"",""display_name"":""Antioch, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37011, United States"",""boundingbox"":[""36.0400602"",""36.0800602"",""-86.6922192"",""-86.6522192""]}]",Davidson County,223 Bart Dr,3,1,0,0,0,47037
3022787,2024-09-12T00:00:00Z,Virginia,Suffolk,"[{""place_id"":3225199,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":206528,""lat"":""36.7282096"",""lon"":""-76.5835703"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.5344468373291614,""addresstype"":""city"",""name"":""Suffolk"",""display_name"":""Suffolk, Suffolk (city), Virginia, United States"",""boundingbox"":[""36.5506484"",""36.9418910"",""-76.9308397"",""-76.3995670""]}]",Suffolk city,822 E Washington St,2,3,0,0,0,51800
3017817,2024-09-07T00:00:00Z,Kentucky,East Bernstadt,"[{""place_id"":375728431,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":130904,""lat"":""37.1895318"",""lon"":""-84.1177098"",""class"":""place"",""type"":""locality"",""place_rank"":25,""importance"":0.2924415519306157,""addresstype"":""village"",""name"":""East Bernstadt"",""display_name"":""East Bernstadt, Laurel County, Kentucky, United States"",""boundingbox"":[""37.1792710"",""37.2044460"",""-84.1432270"",""-84.1055940""]}]",Laurel County,I-75 and KY-909,0,5,1,0,0,21125
