Incident ID,Incident Date,State,City Or County,Address,json,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,county,FIPS
3048245,"October 15, 2024",Maryland,Ellicott City,8700 Old Annapolis Rd,"[{""place_id"":323140107,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""node"",""osm_id"":158248601,""lat"":""39.2673284"",""lon"":""-76.7983067"",""class"":""place"",""type"":""town"",""place_rank"":18,""importance"":0.47825830606445263,""addresstype"":""town"",""name"":""Ellicott City"",""display_name"":""Ellicott City, Howard County, Maryland, 21043, United States"",""boundingbox"":[""39.2273284"",""39.3073284"",""-76.8383067"",""-76.7583067""]},{""place_id"":323996716,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":11078364,""lat"":""39.275735850000004"",""lon"":""-76.831741741596"",""class"":""boundary"",""type"":""census"",""place_rank"":25,""importance"":0.47825830606445263,""addresstype"":""census"",""name"":""Ellicott City"",""display_name"":""Ellicott City, Howard County, Maryland, United States"",""boundingbox"":[""39.2244184"",""39.3272655"",""-76.9098150"",""-76.7638968""]}]",Howard High School,0,0,0,0,1,Howard County,24027
3048104,"October 15, 2024",Alabama,Huntsville,2304 Billie Watkins St SW,"[{""place_id"":314625651,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":110673,""lat"":""34.729847"",""lon"":""-86.5859011"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.5981998343115421,""addresstype"":""city"",""name"":""Huntsville"",""display_name"":""Huntsville, Madison County, Alabama, United States"",""boundingbox"":[""34.5334323"",""34.8651648"",""-86.9567811"",""-86.3993424""]}]",Huntsville High School,0,0,0,0,0,Madison County,1089
3048557,"October 15, 2024",Washington,Spokane,4106 N Cook St,"[{""place_id"":303721464,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":237599,""lat"":""47.6571934"",""lon"":""-117.42351"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.6096563199631158,""addresstype"":""city"",""name"":""Spokane"",""display_name"":""Spokane, Spokane County, Washington, United States"",""boundingbox"":[""47.5867785"",""47.7587975"",""-117.6039994"",""-117.3038581""]},{""place_id"":353027073,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""node"",""osm_id"":48925897,""lat"":""47.6571934"",""lon"":""-117.42351"",""class"":""highway"",""type"":""traffic_signals"",""place_rank"":30,""importance"":0.6096563199631158,""addresstype"":""highway"",""name"":""Spokane"",""display_name"":""Spokane, South Post Street, Riverside, Spokane, Spokane County, Washington, 99201, United States"",""boundingbox"":[""47.6571434"",""47.6572434"",""-117.4235600"",""-117.4234600""]},{""place_id"":303455291,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":1150576,""lat"":""47.5354964"",""lon"":""-117.4074674"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.5269481199549023,""addresstype"":""county"",""name"":""Spokane County"",""display_name"":""Spokane County, Washington, United States"",""boundingbox"":[""47.2592720"",""48.0478201"",""-117.8236950"",""-117.0396807""]}]",Shaw Middle School,0,0,0,0,1,Spokane County,53063
3047242,"October 14, 2024",South Carolina,Mount Pleasant,1560 Mathis Ferry Rd,"[{""place_id"":317711154,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":194128,""lat"":""32.7940651"",""lon"":""-79.8625851"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.4881665230444701,""addresstype"":""town"",""name"":""Mount Pleasant"",""display_name"":""Mount Pleasant, Charleston County, South Carolina, United States"",""boundingbox"":[""32.7659200"",""32.9309269"",""-79.9171630"",""-79.7149160""]}]",Lucy Beckham High School,0,0,0,0,1,Charleston County,45019
3048039,"October 14, 2024",Virginia,Colonial Heights,E River Rd,"[{""place_id"":318271216,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":206600,""lat"":""37.2555718"",""lon"":""-77.4112016"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.5108522897100679,""addresstype"":""city"",""name"":""Colonial Heights"",""display_name"":""Colonial Heights, Virginia, United States"",""boundingbox"":[""37.2331506"",""37.2987360"",""-77.4318050"",""-77.3622606""]}]",Virginia State University,0,0,0,0,0,Colonial Heights city,51570
3048585,"October 14, 2024",California,Santa Monica,1660 Stewart St,"[{""place_id"":296516111,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":3353288,""lat"":""34.0194704"",""lon"":""-118.491227"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.6514353972917722,""addresstype"":""city"",""name"":""Santa Monica"",""display_name"":""Santa Monica, Los Angeles County, California, United States"",""boundingbox"":[""33.9666583"",""34.0505825"",""-118.5534678"",""-118.4435336""]}]",Santa Monica College Center for Media and Design,0,1,1,0,0,Los Angeles County,6037
3047597,"October 12, 2024",Louisiana,Baton Rouge,Aster St and Spruce Dr,"[{""place_id"":280923990,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":132206,""lat"":""30.4494155"",""lon"":""-91.1869659"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.6256845419370565,""addresstype"":""city"",""name"":""Baton Rouge"",""display_name"":""Baton Rouge, East Baton Rouge Parish, Louisiana, United States"",""boundingbox"":[""30.3383900"",""30.5589767"",""-91.2350363"",""-90.9993438""]}]",,0,0,0,0,0,East Baton Rouge Parish,22033
3047595,"October 12, 2024",Louisiana,Baton Rouge,101 Gateway Center Ln,"[{""place_id"":280923990,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":132206,""lat"":""30.4494155"",""lon"":""-91.1869659"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.6256845419370565,""addresstype"":""city"",""name"":""Baton Rouge"",""display_name"":""Baton Rouge, East Baton Rouge Parish, Louisiana, United States"",""boundingbox"":[""30.3383900"",""30.5589767"",""-91.2350363"",""-90.9993438""]}]",Wendy's in Gateway Center,0,0,0,0,0,East Baton Rouge Parish,22033
3046682,"October 12, 2024",Texas,Wichita Falls,3410 Taft Blvd,"[{""place_id"":307015056,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":113890,""lat"":""33.9004572"",""lon"":""-98.5020777"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.5815164509717937,""addresstype"":""city"",""name"":""Wichita Falls"",""display_name"":""Wichita Falls, Wichita County, Texas, United States"",""boundingbox"":[""33.8356543"",""33.9964124"",""-98.6143877"",""-98.4243457""]}]",Midwestern State University,0,0,0,0,1,Wichita County,48485
3046274,"October 12, 2024",Indiana,South Bend,Titan Dr,"[{""place_id"":342895538,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":127646,""lat"":""41.6833813"",""lon"":""-86.2500066"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.5896864502567429,""addresstype"":""city"",""name"":""South Bend"",""display_name"":""South Bend, Saint Joseph County, Indiana, United States"",""boundingbox"":[""41.5974505"",""41.7602675"",""-86.3607483"",""-86.1912911""]}]",River Crossing Campus Apartments,0,1,0,0,0,St. Joseph County,18141
3045935,"October 11, 2024",Tennessee,Ooltewah,6123 Mountain View Rd,"[{""place_id"":316656042,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":195857,""lat"":""35.0522068"",""lon"":""-85.10265801288662"",""class"":""boundary"",""type"":""census"",""place_rank"":25,""importance"":0.35886706313982136,""addresstype"":""locality"",""name"":""Ooltewah"",""display_name"":""Ooltewah, Hamilton County, East Tennessee, Tennessee, United States"",""boundingbox"":[""35.0341010"",""35.0812390"",""-85.1289010"",""-85.0432265""]},{""place_id"":316391855,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""node"",""osm_id"":10793573241,""lat"":""35.0749604"",""lon"":""-85.0617207"",""class"":""place"",""type"":""village"",""place_rank"":19,""importance"":0.1467133737697413,""addresstype"":""village"",""name"":""Ooltewah"",""display_name"":""Ooltewah, Collegedale, Hamilton County, East Tennessee, Tennessee, 37363, United States"",""boundingbox"":[""35.0549604"",""35.0949604"",""-85.0817207"",""-85.0417207""]}]",Ooltewah High School,0,0,0,0,1,Hamilton County,47065
3045179,"October 11, 2024",Louisiana,Zachary,4100 School St,"[{""place_id"":279010142,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":132207,""lat"":""30.6485191"",""lon"":""-91.1564961"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.39829404644605404,""addresstype"":""city"",""name"":""Zachary"",""display_name"":""Zachary, East Baton Rouge Parish, Louisiana, United States"",""boundingbox"":[""30.6114893"",""30.7090031"",""-91.2327688"",""-91.0896786""]}]",Zachary High School,0,0,0,0,1,East Baton Rouge Parish,22033
3045134,"October 11, 2024",North Carolina,Laurel Hill,11340 Old Wire Rd,"[{""place_id"":315178719,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""node"",""osm_id"":154208319,""lat"":""35.5545766"",""lon"":""-81.5028683"",""class"":""place"",""type"":""hamlet"",""place_rank"":20,""importance"":0.20759174723523172,""addresstype"":""hamlet"",""name"":""Laurel Hill"",""display_name"":""Laurel Hill, Lincoln County, North Carolina, United States"",""boundingbox"":[""35.5345766"",""35.5745766"",""-81.5228683"",""-81.4828683""]},{""place_id"":316354154,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""node"",""osm_id"":357776551,""lat"":""35.9381979"",""lon"":""-79.1202906"",""class"":""natural"",""type"":""peak"",""place_rank"":18,""importance"":0.1600350019073777,""addresstype"":""peak"",""name"":""Laurel Hill"",""display_name"":""Laurel Hill, Orange County, North Carolina, 27516, United States"",""boundingbox"":[""35.9381479"",""35.9382479"",""-79.1203406"",""-79.1202406""]},{""place_id"":316295786,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""node"",""osm_id"":158542207,""lat"":""34.8090479"",""lon"":""-79.547828"",""class"":""place"",""type"":""village"",""place_rank"":19,""importance"":0.14670416800183103,""addresstype"":""village"",""name"":""Laurel Hill"",""display_name"":""Laurel Hill, Scotland County, North Carolina, 28351, United States"",""boundingbox"":[""34.7890479"",""34.8290479"",""-79.5678280"",""-79.5278280""]},{""place_id"":318396480,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""way"",""osm_id"":654043975,""lat"":""35.88478175"",""lon"":""-79.04033416514756"",""class"":""place"",""type"":""neighbourhood"",""place_rank"":20,""importance"":0.13337083466849772,""addresstype"":""neighbourhood"",""name"":""Laurel Hill"",""display_name"":""Laurel Hill, The Woods at Laurel Hill, Orange County, North Carolina, United States"",""boundingbox"":[""35.8781606"",""35.8913445"",""-79.0434845"",""-79.0373873""]},{""place_id"":316238001,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""way"",""osm_id"":447938462,""lat"":""35.41967987585955"",""lon"":""-83.36455305017296"",""class"":""highway"",""type"":""service"",""place_rank"":27,""importance"":0.040045001144426634,""addresstype"":""road"",""name"":""Laurel Hill"",""display_name"":""Laurel Hill, Swain County, North Carolina, 28789, United States"",""boundingbox"":[""35.4193445"",""35.4197249"",""-83.3657069"",""-83.3634542""]}]",Laurel Hill Elementary School,0,0,0,0,0,Lincoln County,37109
3045566,"October 11, 2024",Ohio,Cleveland (Cleveland Heights),13263 Cedar Rd,"[{""place_id"":340583252,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""node"",""osm_id"":4195061947,""lat"":""41.5162375"",""lon"":""-81.569692"",""class"":""office"",""type"":""lawyer"",""place_rank"":30,""importance"":5.7046616311848895e-05,""addresstype"":""office"",""name"":""Ohio Accident Attorneys"",""display_name"":""Ohio Accident Attorneys, 2490, Lee Boulevard, Heights Rockefeller, Cleveland, Cuyahoga County, Ohio, 44118, United States"",""boundingbox"":[""41.5161875"",""41.5162875"",""-81.5697420"",""-81.5696420""]},{""place_id"":342175991,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""node"",""osm_id"":3641023321,""lat"":""41.503575"",""lon"":""-81.5657371"",""class"":""amenity"",""type"":""bank"",""place_rank"":30,""importance"":5.7046616311848895e-05,""addresstype"":""amenity"",""name"":""Ohio Savings Bank"",""display_name"":""Ohio Savings Bank, 2066, Lee Road, Cedar Lee, Cleveland Heights, Cuyahoga County, Ohio, 44118, United States"",""boundingbox"":[""41.5035250"",""41.5036250"",""-81.5657871"",""-81.5656871""]},{""place_id"":342685351,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":11259162,""lat"":""41.48686305"",""lon"":""-81.6934901295529"",""class"":""leisure"",""type"":""park"",""place_rank"":24,""importance"":0.08007460975051496,""addresstype"":""park"",""name"":""Ohio & Erie Canal Reservation"",""display_name"":""Ohio & Erie Canal Reservation, Tremont, Cleveland, Cuyahoga County, Ohio, United States"",""boundingbox"":[""41.4824371"",""41.4950649"",""-81.6945128"",""-81.6848694""]},{""place_id"":341380943,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""way"",""osm_id"":11791172,""lat"":""41.43138252368654"",""lon"":""-81.57827800013314"",""class"":""highway"",""type"":""residential"",""place_rank"":26,""importance"":0.05340794308384829,""addresstype"":""road"",""name"":""Ohio Avenue"",""display_name"":""Ohio Avenue, Cleveland, Cuyahoga County, Ohio, 44128, United States"",""boundingbox"":[""41.4313630"",""41.4314020"",""-81.5817650"",""-81.5747910""]},{""place_id"":343006513,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""way"",""osm_id"":661058313,""lat"":""41.47461266456024"",""lon"":""-81.68731713222442"",""class"":""highway"",""type"":""cycleway"",""place_rank"":27,""importance"":0.04007460975051498,""addresstype"":""road"",""name"":""Ohio & Erie Canal Towpath Trail"",""display_name"":""Ohio & Erie Canal Towpath Trail, Tremont, Cleveland, Cuyahoga County, Ohio, 44113, United States"",""boundingbox"":[""41.4673449"",""41.4756918"",""-81.6882352"",""-81.6790897""]},{""place_id"":342791380,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""node"",""osm_id"":2274130827,""lat"":""41.5002094"",""lon"":""-81.5556634"",""class"":""office"",""type"":""government"",""place_rank"":30,""importance"":5.7046616311848895e-05,""addresstype"":""office"",""name"":""Ohio Bureau of Motor Vehicles"",""display_name"":""Ohio Bureau of Motor Vehicles, 2173, South Taylor Road, Cedarbrook, University Heights, Cuyahoga County, Ohio, 44118, United States"",""boundingbox"":[""41.5001594"",""41.5002594"",""-81.5557134"",""-81.5556134""]},{""place_id"":342170495,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":3956408,""lat"":""41.4314204"",""lon"":""-81.66959482466142"",""class"":""place"",""type"":""house"",""place_rank"":30,""importance"":5.8899061570107844e-05,""addresstype"":""place"",""name"":""Ohio & Erie Canal Reservation"",""display_name"":""Ohio & Erie Canal Reservation, 4524, East 49th Street, Karlin, Cuyahoga Heights, Cuyahoga County, Ohio, 44125, United States"",""boundingbox"":[""41.3935099"",""41.4929989"",""-81.7235632"",""-81.6263214""]}]",Cleveland Heights High School,0,0,0,0,1,Cuyahoga County,39035
3045513,"October 11, 2024",Virginia,Richmond (North Chesterfield),4901 Cogbill Rd,[],Meadowbrook High School,0,0,0,0,1,,None
